tracked_root,model,region,artifact,section,page_key,file_name,relative_path,section_title,field_key,change_type,old_value,new_value,source_section_key,source_row_key,source_line_order,source_csv_line,from_ref,to_ref
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,11 / AC入力電力表示,A,,製品は、系統電力を使用し、AC入力を介して充電されます。,TEMPLATE VARS,tpl_side_ac_input_label,1,387,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,12 / シガーソケット入力電力表示,A,,製品は、DC 12V（カーチャージ）を使用し、8020入力ポートを介して充電されています。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,13 / ソーラー（グリーンエネルギー）充電接続,A,,製品は、ソーラーパネルを使用し、8020入力ポートを介して充電されています。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,13 / バッテリー節約モード,A,,Jackeryアプリで有効/無効にできます。バッテリー節約モード設定時は、バッテリー残量が既定値に設定されるため、バッテリーの寿命を延ばすことが可能です。 （Jackeryアプリで設定してください。電源オフ時も設定は保持されます。） この機能が有効な場合、本製品はSOCを較正するために、時折フル充放電サイクルを実行します。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,14 / 充電速度制限,A,,点灯時：アプリ側で充電速度制限が有効になっています。 消灯時：アプリ側で充電速度制限が無効になっています。 （Jackeryアプリで設定してください。電源オフ時も設定は保持されます。）,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,15 / バッテリーアイコン,A,,製品の充電中は、バッテリーのパーセンテージを囲むオレンジ色の円が順番に点灯します。他のデバイスの充電時には、オレンジ色の円は点灯したままになります。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,16 / バッテリーレベルパーセントタグ,A,,バッテリー残量を表示します。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,17 / バッテリー残量警告灯 / オン：バッテリー残量が20％未満です。 点滅：バッテリー残量が5％未満です。 オフ：製品は充電中です。 * / 放電タイマー,A,,オン：放電タイマーが設定されています。 オフ：放電タイマーは設定されていません。 Jackeryアプリで設定してください。本設定は、デバイスの電源を切ると保持されません。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,18 / 省エネモード,A,,ACまたはDC/USB出力ボタンを押して出力をオンにしたとき： アイコン表示：省エネモードがオンになっています。 アイコン消灯：省エネモードがオフになっています。,TEMPLATE VARS,tpl_dc_usb_power_button_label,1,372,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,19 / 高温インジケーター / 高温保護が作動しました。製品の温度が通常の動作範囲に戻るまで、製品の機能が停止する場合があります。 * / 低温インジケーター,A,,低温保護が作動しました。製品の温度が通常の動作範囲に戻るまで、製品の機能が停止する場合があります。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,2 / Bluetooth,A,,オン：Bluetooth接続済。 点滅：Bluetoothに接続する準備ができました。 オフ：Bluetooth接続解除済。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,20 / エラーコード,A,,製品エラーが発生しました。詳細については、トラブルシューティングのセクションを参照してください。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,21 / 消費電力,A,,出力電力をワットで表示します。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,22 / バッテリー使用可能時間,A,,接続した機器の使用可能な時間を表示します。,,,,,HEAD~1,HEAD
docs/_review/JE-1000F,JE-1000F,JP,review,page,04_lcd_display_placeholder,04_lcd_display_placeholder.rst,page/04_lcd_display_placeholder.rst,液晶画面,3 / 静音充電モード,A,,オン：充電中のノイズが大幅に低減され、充電電力が低下し、充電速度が低減します。 オフ：静音充電モードが無効になっています。 （Jackeryアプリで有効/無効にできます。電源オフ時も設定は保持されます。）,,,,,HEAD~1,HEAD
