"Region","Is_Latest","Page","Section","Section_order","Row_key","Slot_key","Row_label_source","Row_label_footnote_refs","Line_order","Param_source","Param_footnote_refs","Value_source","Value_footnote_refs","Row_label_fr","Param_fr","Value_fr","Row_label_es","Model","Param_es","Value_es","Source_lang"
"JP","TRUE","specifications","GENERAL INFO","1","product_name","","製品の名称","","1","","","Jackery ポータブル電源 1000 New","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","GENERAL INFO","1","model_no","","型番","","1","","","JE-1000F","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","GENERAL INFO","1","capacity","","定格容量","","1","","","1024Wh (20Ah/51.2V DC)","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","GENERAL INFO","1","cell_chemistry","","バッテリータイプ","","1","","","LiFePO₄ (リン酸鉄リチウムイオン電池)","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","GENERAL INFO","1","weight","","重量","","1","","","約10.6 kg","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","GENERAL INFO","1","dimensions","","サイズ","","1","","","約314 × 201 × 236 mm","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","GENERAL INFO","1","cycle_life","","サイクル寿命","","1","","","6000回 (6000回の充放電後も初期容量の70%以上を維持)","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","INPUT PORTS","2","ac_input","","1×ACポート","","1","","","100V-120V~50Hz/60Hz, 最大15A, 1450W±50W","max_charge_power","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","INPUT PORTS","2","ac_input","","1×ACポート","","2","バススルー","ac_bypass","100V-120V~50Hz/60Hz, 最大15A, 最大1500W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","INPUT PORTS","2","dc8020_ports","","2×DC8020ポート","","1","PV","","16V-60V⎓12A, 2ポート 最大21A, 最大400W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","INPUT PORTS","2","dc8020_ports","","2×DC8020ポート","","2","シガーソケット","","11V-16V⎓最大8A, 2ポート 最大8A","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","ac_output","","3×ACポート","","1","","","100V~50Hz/60Hz, 最大15A, 定格1500W (-10℃~45℃)","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","ac_output","","3×ACポート","","2","","","100V~50Hz/60Hz, 最大7A, 定格700W (-20℃~-10℃)","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","ac_total_output","","AC出力合計","","1","","","定格1500W, 瞬間最大3000W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","ac_output_bypass","","AC出力(パススルー)","ac_bypass","1","","","100V-120V~50Hz/60Hz, 最大15A, 最大1500W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","usb_c","","2×USB-Cポート","","1","","","5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A, 最大30W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","usb_c","","2×USB-Cポート","","2","","","5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A, 最大100W (-10℃~45℃)","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","usb_c","","2×USB-Cポート","","3","","","(-20℃~-10℃では出力不可)","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","usb_a","","1×USB-Aポート","","1","","","5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A, 最大18W","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","OUTPUT PORTS","3","dc12_port","","シガーソケット出力","","1","","","12V⎓最大10A","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","ENVIRONMENTAL OPERATING TEMPERATURE","4","charging_temperature","","充電温度","","1","","","-20℃ ~ 45℃","","","","","","JE-1000F","","","ja"
"JP","TRUE","specifications","ENVIRONMENTAL OPERATING TEMPERATURE","4","discharging_temperature","","放電温度","","1","","","-20℃ ~ 45℃","","","","","","JE-1000F","","","ja"
"JP","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","保管温度","","1","1か月","","-20℃ ～ 45℃（0-60% RH）","","","","","","JE-1000F","","","ja"
"JP","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","保管温度","","2","3か月","","0℃ ～ 45℃（0-60% RH）","","","","","","JE-1000F","","","ja"
"JP","TRUE","storage","ENVIRONMENTAL OPERATING TEMPERATURE","4","storage_temperature","","保管温度","","3","1年","","0℃ ～ 25℃（0-60% RH）","","","","","","JE-1000F","","","ja"
"US","TRUE","Product overview","CONTROLS","7","main_power_button","label","Main Power Button","","1","","","Main POWER Button","","","","Bouton d’alimentation principal","","JE-1000F","","Botón de encendido principal","en"
"US","TRUE","Product overview","CONTROLS","7","dc_usb_power_button","label","DC/USB Power Button","","1","","","DC/USB Power Button","","","","Bouton d’alimentation CC/USB","","JE-1000F","","Botón de energía CC/USB","en"
"US","TRUE","Product overview","CONTROLS","7","ac_power_button","label","AC Power Button","","1","","","AC Power Button","","","","Bouton d’alimentation CA","","JE-1000F","","Botón de energía CA","en"
"US","TRUE","Product overview","OUTPUT PORTS","3","dc12_port","front.label","DC 12V Port","","1","","","DC 12V Port","","","","Port CC 12 V","","JE-1000F","","Puerto DC 12V","en"
